('Alaskan Brewing Co. Amber', 'Altbier', '12', '5.3', 'Alaska')
('Alaskan Brewing Co. IPA', 'IPA', '12', '6.2', 'Alaska')
('Alaskan Brewing Co. Stout', 'Stout', '12', '5.7', 'Alaska')
('Alaskan Brewing Co. White', 'White Wheat', '12', '5.3', 'Alaska')
('Quilmes', 'Pale Lager', '12', '4.9', 'Argentina')
('Cave Creek Chili Beer', 'Specialty Beer', '12', '4.2', 'Arizona')
('Coopers Extra Stout', 'Stout', '12', '6.0', 'Australia')
('Coopers Lager', 'Pale Lager', '12', '5.0', 'Australia')
('Coopers Pale Ale', 'Pale Ale', '12', '4.4', 'Australia')
('Coopers Sparkling Ale', 'Pale Ale', '12', '5.8', 'Australia')
('Coopers Vintage Ale', 'English Strong Ale', '12', '7.5', 'Australia')
('Foster''s', 'Pale Lager', '25', '4.9', 'Australia')
('Foster''s Premium Ale', 'English Bitter', '25', '5.0', 'Australia')
('James Boag''s Premium Lager', 'Pale Lager', '12', '5.0', 'Australia')
('Brauerei Hofstetten Krammer Granitbock', 'Doppelbock', '16', '7.3', 'Austria')
('Brauerei Hofstetten Krammer Saphir Bock', 'Maibock', '16', '7.4', 'Austria')
('Brauerei Hofstetten Kulbelbier', 'Specialty Beer', '16', '5.7', 'Austria')
('Eggenberg Doppelbock Dunkel', 'Doppelbock', '11', '8.5', 'Austria')
('Eggenberg Urbock', 'Eisbock', '12', '9.8', 'Austria')
('Gosser Beer', 'Pale Lager', '12', '5.2', 'Austria')
('Grieskirchner Jörger Weisse', 'Hefeweizen', '16', '5.1', 'Austria')
('Grieskirchner Pilsner', 'Pilsner', '16', '4.8', 'Austria')
('Hirter Morchal', 'Dark Lager', '16', '5.0', 'Austria')
('Hirter Privat Pilsner', 'Pilsner', '16', '5.2', 'Austria')
('Hofbrau Kaltenhausen Edelweiss', 'Hefeweizen', '16', '5.5', 'Austria')
('Samichlaus', 'Doppelbock', '11', '14.0', 'Austria')
('Samichlaus Helles', 'Doppelbock', '11', '14.0', 'Austria')
('Stiegl Goldbräu', 'Pale Lager', '16', '4.9', 'Austria')
('Stiegl Grapefruit Radler', 'Specialty Beer', '12', '2.5', 'Austria')
('Stiegl Pilsner', 'Pilsner', '16', '5.0', 'Austria')
('Stift Engelszell Benno', 'Saison', '11', '6.9', 'Austria')
('Stift Engelszell Gregorius', 'Belgian Strong Dark Ale', '11', '9.7', 'Austria')
('Kalik', 'Pale Lager', '12', '5.0', 'Bahamas')
('Banks Beer', 'Pale Lager', '12', '5.0', 'Barbados')
('Abbaye De St. Martin Brune', 'Belgian Dubbel', '25', '8.0', 'Belgium')
('Abbaye de St. Martin Blonde', 'Belgian Golden', '11', '7.0', 'Belgium')
('Achel 8° Blonde', 'Belgian Blonde', '11', '8.0', 'Belgium')
('Achel 8° Bruin', 'Belgian Brown', '11', '8.0', 'Belgium')
('Affligem Blonde', 'Belgian Blonde', '12', '6.8', 'Belgium')
('Affligem Dubbel', 'Belgian Dubbel', '25', '6.8', 'Belgium')
('Affligem Tripel', 'Belgian Tripel', '25', '9.5', 'Belgium')
('Augustijn Blonde', 'Belgian Strong Pale Ale', '12', '7.5', 'Belgium')
('Barbãr Belgian Honey Ale', 'Belgian Strong Pale Ale', '12', '8.0', 'Belgium')
('Bavik Premium Pils', 'Pilsner', '11', '5.2', 'Belgium')
('Blanche de Bruxelles', 'White Wheat', '16', '4.4', 'Belgium')
('Blanche de Namur', 'White Wheat', '12', '4.5', 'Belgium')
('Bockor Bellegems Bruin', 'Belgian Brown', '12', '5.5', 'Belgium')
('Bockor Cuvée des Jacobins Rouge', 'Flemish Red', '11', '5.5', 'Belgium')
('Bockor Jacobins Framboise MAX', 'Lambic', '11', '4.6', 'Belgium')
('Bockor OMER. Traditional Blond', 'Belgian Strong Pale Ale', '11', '8.0', 'Belgium')
('Boon Framboise', 'Lambic', '11', '5.0', 'Belgium')
('Boon Kriek', 'Lambic', '11', '5.0', 'Belgium')
('Boon Oude Geuze', 'Lambic', '25', '6.5', 'Belgium')
('Bornem Triple', 'Belgian Tripel', '11', '9.0', 'Belgium')
('Boucanier Dark Ale', 'Belgian Strong Dark Ale', '11', '8.9', 'Belgium')
('Boucanier Golden Ale', 'Belgian Golden', '11', '11.0', 'Belgium')
('Boucanier Red Ale', 'Belgian Strong Dark Ale', '11', '7.0', 'Belgium')
('Bourgogne des Flandres', 'Flemish Red', '12', '5.0', 'Belgium')
('Brasserie des Rocs Blonde', 'Belgian Blonde', '11', '7.4', 'Belgium')
('Brasserie des Rocs Brune', 'Belgian Brown', '12', '9.0', 'Belgium')
